openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[996]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1205]: Warning: Wire GPIO.\gpio0_output [9] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1206]: Warning: Wire GPIO.\gpio0_output [8] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1207]: Warning: Wire GPIO.\gpio0_output [7] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1208]: Warning: Wire GPIO.\gpio0_output [6] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1209]: Warning: Wire GPIO.\gpio0_output [5] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1210]: Warning: Wire GPIO.\gpio0_output [4] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1211]: Warning: Wire GPIO.\gpio0_output [3] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1212]: Warning: Wire GPIO.\gpio0_output [2] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1213]: Warning: Wire GPIO.\gpio0_output [1] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1214]: Warning: Wire GPIO.\gpio0_output [0] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1215]: Warning: Wire GPIO.\gpio0_oe [18] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1216]: Warning: Wire GPIO.\gpio0_oe [17] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1217]: Warning: Wire GPIO.\gpio0_oe [16] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1218]: Warning: Wire GPIO.\gpio0_oe [15] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1219]: Warning: Wire GPIO.\gpio0_oe [14] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1220]: Warning: Wire GPIO.\gpio0_oe [13] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1221]: Warning: Wire GPIO.\gpio0_oe [12] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1222]: Warning: Wire GPIO.\gpio0_oe [11] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1223]: Warning: Wire GPIO.\gpio0_oe [10] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1224]: Warning: Wire GPIO.\gpio0_oe [9] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1225]: Warning: Wire GPIO.\gpio0_oe [8] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1226]: Warning: Wire GPIO.\gpio0_oe [7] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1227]: Warning: Wire GPIO.\gpio0_oe [6] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1228]: Warning: Wire GPIO.\gpio0_oe [5] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1229]: Warning: Wire GPIO.\gpio0_oe [4] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1230]: Warning: Wire GPIO.\gpio0_oe [3] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1231]: Warning: Wire GPIO.\gpio0_oe [2] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1232]: Warning: Wire GPIO.\gpio0_oe [1] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1233]: Warning: Wire GPIO.\gpio0_oe [0] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1277]: Warnings: 110 unique messages, 110 total
