openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[769]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1056]: Warning: Wire user_proj_example.\la_data_out [79] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1057]: Warning: Wire user_proj_example.\la_data_out [78] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1058]: Warning: Wire user_proj_example.\la_data_out [77] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1059]: Warning: Wire user_proj_example.\la_data_out [76] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1060]: Warning: Wire user_proj_example.\la_data_out [75] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1061]: Warning: Wire user_proj_example.\la_data_out [74] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1062]: Warning: Wire user_proj_example.\la_data_out [73] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1063]: Warning: Wire user_proj_example.\la_data_out [72] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1064]: Warning: Wire user_proj_example.\la_data_out [71] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1065]: Warning: Wire user_proj_example.\la_data_out [70] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1066]: Warning: Wire user_proj_example.\la_data_out [69] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1067]: Warning: Wire user_proj_example.\la_data_out [68] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1068]: Warning: Wire user_proj_example.\la_data_out [67] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1069]: Warning: Wire user_proj_example.\la_data_out [66] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1070]: Warning: Wire user_proj_example.\la_data_out [65] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1071]: Warning: Wire user_proj_example.\la_data_out [64] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1072]: Warning: Wire user_proj_example.\la_data_out [63] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1073]: Warning: Wire user_proj_example.\la_data_out [62] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1074]: Warning: Wire user_proj_example.\la_data_out [61] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1075]: Warning: Wire user_proj_example.\la_data_out [60] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1076]: Warning: Wire user_proj_example.\la_data_out [59] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1077]: Warning: Wire user_proj_example.\la_data_out [58] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1078]: Warning: Wire user_proj_example.\la_data_out [57] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1079]: Warning: Wire user_proj_example.\la_data_out [56] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1080]: Warning: Wire user_proj_example.\la_data_out [55] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1081]: Warning: Wire user_proj_example.\la_data_out [54] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1082]: Warning: Wire user_proj_example.\la_data_out [53] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1083]: Warning: Wire user_proj_example.\la_data_out [52] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1084]: Warning: Wire user_proj_example.\la_data_out [51] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1085]: Warning: Wire user_proj_example.\la_data_out [50] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1086]: Warning: Wire user_proj_example.\la_data_out [49] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1087]: Warning: Wire user_proj_example.\la_data_out [48] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1088]: Warning: Wire user_proj_example.\la_data_out [47] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1089]: Warning: Wire user_proj_example.\la_data_out [46] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1090]: Warning: Wire user_proj_example.\la_data_out [45] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1091]: Warning: Wire user_proj_example.\la_data_out [44] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1092]: Warning: Wire user_proj_example.\la_data_out [43] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1093]: Warning: Wire user_proj_example.\la_data_out [42] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1094]: Warning: Wire user_proj_example.\la_data_out [41] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1095]: Warning: Wire user_proj_example.\la_data_out [40] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1096]: Warning: Wire user_proj_example.\la_data_out [39] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1097]: Warning: Wire user_proj_example.\la_data_out [38] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1098]: Warning: Wire user_proj_example.\la_data_out [37] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1099]: Warning: Wire user_proj_example.\la_data_out [36] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1100]: Warning: Wire user_proj_example.\la_data_out [35] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1101]: Warning: Wire user_proj_example.\la_data_out [34] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1102]: Warning: Wire user_proj_example.\la_data_out [33] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1103]: Warning: Wire user_proj_example.\la_data_out [32] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1104]: Warning: Wire user_proj_example.\la_data_out [31] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1105]: Warning: Wire user_proj_example.\la_data_out [30] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1106]: Warning: Wire user_proj_example.\la_data_out [29] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1107]: Warning: Wire user_proj_example.\la_data_out [28] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1108]: Warning: Wire user_proj_example.\la_data_out [27] is used but has no driver.
